id,healthCenterId,name,contractId,typeId,type,address,hasOnlineRecommendation,hasRecommendation,provinceName,cityName,latitude,longitude,distance,duration,specialty,URL,type_name
101413,155557,مرکز اپتومتری  و عینک سازی دیدار-همدان,1062873,1000083,عینک سازی,همدان -آرامگاه بوعلي سينا -ابتداي کولانج از سمت بانک سپه -مجتمع سينا-طبقه همکف,True,True,استان همدان,همدان,34.7923276729,48.5131377321,,,,https://iranassistance.com/medical-centers/101413,عینک سازی
101478,159056,عینک سازی چشمک-قائم شهر,1062913,1000083,عینک سازی,استان مازندران-قائم شهر-خيابان کارگر-خيابان شهيد مدرس-خيابان ياس 4(رازي)-طبقه همکف,True,True,استان مازندران,قائم  شهر,36.4652604956,52.8628715476,,,,https://iranassistance.com/medical-centers/101478,عینک سازی
101479,146256,عینک سازی حمید (اصفهان),1062968,1000083,عینک سازی,اصفهان- زرين شهر-خيابان با هنر-جنب پيتزا ايروني,True,True,استان اصفهان,زرين شهر,32.391115,51.373602,,,,https://iranassistance.com/medical-centers/101479,عینک سازی
101480,146258,عینک سازی نیکان (اصفهان),1062969,1000083,عینک سازی,اصفهان -فولادشهر-محله B4-بلوار مطهري -ساختمان کوشا-پلاک 3,True,True,استان اصفهان,فولادشهر,32.653383,51.666693,,,,https://iranassistance.com/medical-centers/101480,عینک سازی
101481,148288,عينک سازی هرمس-اصفهان,1062970,1000083,عینک سازی,اصفهان - خيابان مدرس - بعد از بيمارستان فيض - جنب کوچه 34,True,True,استان اصفهان,اصفهان,32.6784170154,51.6867012734,,,,https://iranassistance.com/medical-centers/101481,عینک سازی
101482,157587,عینک سازی پرتو فیض- اصفهان,1062971,1000083,عینک سازی,اصفهان-ميدان قدس-خيابان علامه مجلسي-جنب داروخانه جالينوس و کفش عالي-طبقه همکف,True,True,استان اصفهان,اصفهان,32.677640978,51.6876809283,,,,https://iranassistance.com/medical-centers/101482,عینک سازی
101485,147073,داروخانه دکتر اعتماد-بابل,1063017,1000105,داروخانه,مازندران - بابل-  جنب بيمارستان روحاني -خيابان آبياري,True,True,استان مازندران,بابل,36.52846,52.680192,,,,https://iranassistance.com/medical-centers/101485,داروخانه
101486,153404,داروخانه دکتر موسوی-بابل,1063018,1000105,داروخانه,مازندران-بابل-جاده شهيد صالحي - ميدان امام حسين,True,True,استان مازندران,بابل,36.5252785448,52.6651073121,,,,https://iranassistance.com/medical-centers/101486,داروخانه
101487,156872,داروخانه شبانه روزی دکتر علیمحمدی-ساری,1063019,1000105,داروخانه,مازندران-ساري-بلوار خزر-نرسيده به مجتمع پزشکي باغبان(طوبي),True,True,استان مازندران,ساري,36.582116307,53.0619662803,,,,https://iranassistance.com/medical-centers/101487,داروخانه
101538,159299,داروخانه دکتر زاهدی نیا-بیرجند,1063093,1000105,داروخانه,خراسان جنوبي-بيرجند-خيابان غفاري-روبروي غفاري3,True,True,استان خراسان جنوبی,بيرجند,32.869472504,59.2330497828,,,,https://iranassistance.com/medical-centers/101538,داروخانه
